,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-08-21,0.6500626956424197,0.926324912553492,0.13659204318026574,0.17064386239562776,0.13543774422381277,0.06848840474954168,0.13890064109317163
2024-08-22,0.6549457632648668,0.9290216085197622,0.13370965206733026,0.16670294283719103,0.1319731630794429,0.09309510407285261,0.12946490120804996
2024-08-23,0.6631893743217061,0.9332914912637774,0.13383962091747423,0.16039433209154225,0.14614782646165903,0.10612192969198717,0.11668566515904343
2024-08-26,0.659445088799888,0.9369218361084274,0.1401977534612922,0.16374241434792147,0.14292192910106752,0.11062098937230344,0.10196200251730345
2024-08-27,0.6332376254490031,0.9391773191242722,0.13819462733116242,0.15721223659691871,0.14550909243337634,0.06719555273900557,0.12512611634854012
2024-08-28,0.7131332399334336,0.9397199097644998,0.1398357871954858,0.1572054802316313,0.13280984394491013,0.12090477343699019,0.16237735512441617
2024-08-29,0.6815305188415044,0.9433863585516293,0.14194878852973117,0.1544880879995763,0.15536975749354978,0.11530277715631028,0.11442110766233679
2024-08-30,0.6707488461432299,0.9457264111799859,0.14672017220175484,0.15585335561190428,0.12226681016812903,0.10095604887778044,0.14495245928366143
2024-09-02,0.5851048405232544,0.9485790596361849,0.14046456272494287,0.1547474249936082,0.10874675823866546,0.08914476105615239,0.09200133350988546
2024-09-03,0.5798443057984914,0.9496429702107945,0.13450810086890178,0.15955579707176176,0.09200590770578104,0.11192572909545712,0.08184877105658978
2024-09-04,0.6030389833480477,0.9488995767388396,0.12937748123137036,0.16662400667345567,0.11587807915315426,0.10405378536201607,0.08710563092805133
2024-09-05,0.5775702786227208,0.9488232315142956,0.130056766936539,0.16532973857538819,0.08936476334200065,0.09251765466167432,0.10030135510711871
2024-09-06,0.5530125995945415,0.9496275560084583,0.1277017326096525,0.16152543476031725,0.10669750940821932,0.06557656539414589,0.09151135742220659
2024-09-09,0.5609224804494667,0.9489956933816519,0.12702548793031668,0.15501248449525842,0.08750863714671932,0.06720821006088128,0.12416766081629092
2024-09-10,0.5955656626532783,0.9486102102797005,0.13771101495026186,0.15918526477798509,0.0879656197071415,0.12116205178027328,0.0895417114376166
2024-09-11,0.6405044289222148,0.9483483472510651,0.13609734329189743,0.15845197203810635,0.08400219524456477,0.11659859222692225,0.145354326120724
2024-09-12,0.5676203776567563,0.9489903188948892,0.1358938369424769,0.15195670526852745,0.06996709516255155,0.07962452519907276,0.1301782150841276
2024-09-13,0.5543285079480985,0.9486730996161697,0.13831121826179674,0.15673301157729244,0.0758544430638059,0.08836550055614792,0.09506433448905545
2024-09-16,0.5916035905488768,0.948101610415324,0.13625883996000093,0.15782002923112823,0.07964841150841093,0.09599159607008734,0.12188471377924937
2024-09-17,0.5745174494350869,0.9496400683247314,0.13095763351352477,0.1585691827483041,0.0767206618023511,0.09614735894253512,0.11212261242837174
